customer_id,customer_name,gender,age,customer_type,city,join_date,email,phone,loyalty_points,is_outlier_loyalty,is_outlier
18,Customer_0018,Female,28,Regular,Bangalore,2021-05-08,cust0018@email.com,+91-7590521614,405,False,False
19,Customer_0019,Male,22,Regular,Chennai,2020-08-02,cust0019@email.com,+91-9708842947,1637,False,False
20,Customer_0020,Male,44,Regular,Goa,2020-04-25,cust0020@email.com,+91-7993998848,2318,False,False
21,Customer_0021,Female,29,Regular,Bangalore,2021-12-05,cust0021@email.com,+91-7291920078,1759,False,False
22,Customer_0022,Male,34,New,Chennai,2020-06-06,cust0022@email.com,+91-7648667392,1674,False,False
23,Customer_0023,Male,23,Regular,Goa,2021-06-12,cust0023@email.com,+91-7039262289,791,False,False
24,Customer_0024,Male,50,Occasional,Mumbai,2020-03-07,cust0024@email.com,+91-7939393836,3582,False,False
25,Customer_0025,Male,22,Regular,Chennai,2020-01-14,cust0025@email.com,+91-9172106337,1309,False,False
26,Customer_0026,Female,45,Regular,Goa,2020-06-22,cust0026@email.com,+91-8958546579,3833,False,False
27,Customer_0027,Male,31,New,Chennai,2020-10-29,cust0027@email.com,+91-8602884797,4929,False,False
28,Customer_0028,Female,22,Regular,Bangalore,2021-05-21,cust0028@email.com,+91-7259631271,4412,False,False
29,Customer_0029,Female,50,New,Delhi,2020-09-29,cust0029@email.com,+91-9653582116,1330,False,False
30,Customer_0030,Male,67,Regular,Mumbai,2020-05-08,cust0030@email.com,+91-9739023440,4446,False,False
31,Customer_0031,Female,65,VIP,Bangalore,2021-03-23,cust0031@email.com,+91-9863689749,510,False,False
32,Customer_0032,Male,58,Occasional,Bangalore,2021-12-26,cust0032@email.com,+91-9647930485,2572,False,False
33,Customer_0033,Male,36,New,Goa,2021-07-22,cust0033@email.com,+91-9075346043,3929,False,False
34,Customer_0034,Female,39,Occasional,Chennai,2020-01-18,cust0034@email.com,+91-9831604672,491,False,False
35,Customer_0035,Other,22,Occasional,Mumbai,2020-10-26,cust0035@email.com,+91-9095318649,1617,False,False
36,Customer_0036,Female,19,Regular,Bangalore,2021-01-18,cust0036@email.com,+91-7067567428,2056,False,False
37,Customer_0037,Male,47,Regular,Goa,2021-03-23,cust0037@email.com,+91-7028399849,1520,False,False
38,Customer_0038,Male,64,New,Mumbai,2021-07-26,cust0038@email.com,+91-9285835206,1583,False,False
39,Customer_0039,Female,56,Regular,Chennai,2021-05-26,cust0039@email.com,+91-9369291047,1575,False,False
40,Customer_0040,Male,21,Occasional,Bangalore,2021-01-22,cust0040@email.com,+91-8766685440,3946,False,False
41,Customer_0041,Male,50,New,Bangalore,2021-09-19,cust0041@email.com,+91-7050899550,1761,False,False
42,Customer_0042,Female,30,Regular,Bangalore,2021-09-29,cust0042@email.com,+91-7071838242,1991,False,False
43,Customer_0043,Male,37,New,Mumbai,2020-12-08,cust0043@email.com,+91-9273831457,3179,False,False
44,Customer_0044,Female,24,VIP,Mumbai,2021-09-24,cust0044@email.com,+91-8180002487,3326,False,False
45,Customer_0045,Male,32,Occasional,Mumbai,2020-12-30,cust0045@email.com,+91-9300977631,1046,False,False
46,Customer_0046,Female,40,New,Mumbai,2021-01-14,cust0046@email.com,+91-8231317910,2892,False,False
47,Customer_0047,Male,31,Regular,Goa,2020-04-23,cust0047@email.com,+91-7073626894,2613,False,False
48,Customer_0048,Female,40,Regular,Delhi,2021-04-06,cust0048@email.com,+91-9157001409,3892,False,False
49,Customer_0049,Female,36,Occasional,Goa,2021-11-18,cust0049@email.com,+91-9997281896,4144,False,False
50,Customer_0050,Male,46,Regular,Bangalore,2020-09-18,cust0050@email.com,+91-9894949501,461,False,False
51,Customer_0051,Other,37,VIP,Goa,2020-07-01,cust0051@email.com,+91-8849297832,4431,False,False
52,Customer_0052,Female,46,New,Chennai,2021-08-27,cust0052@email.com,+91-7769945233,1381,False,False
53,Customer_0053,Female,41,Occasional,Mumbai,2020-12-10,cust0053@email.com,+91-7459632043,1145,False,False
54,Customer_0054,Female,35,Regular,Chennai,2021-10-13,cust0054@email.com,+91-7413665007,3515,False,False
55,Customer_0055,Female,27,New,Chennai,2020-06-15,cust0055@email.com,+91-9252218154,4454,False,False
56,Customer_0056,Female,58,Occasional,Bangalore,2021-03-07,cust0056@email.com,+91-7639509845,192,False,False
57,Customer_0057,Male,25,Occasional,Mumbai,2020-03-29,cust0057@email.com,+91-8034953269,3534,False,False
58,Customer_0058,Male,43,Occasional,Chennai,2020-04-08,cust0058@email.com,+91-7824341906,755,False,False
59,Customer_0059,Male,46,New,Bangalore,2020-12-27,cust0059@email.com,+91-9661938440,1684,False,False
60,Customer_0060,Male,27,Occasional,Mumbai,2020-05-20,cust0060@email.com,+91-9261111254,2525,False,False
61,Customer_0061,Male,34,New,Delhi,2021-06-19,cust0061@email.com,+91-8084127872,827,False,False
62,Customer_0062,Male,19,New,Bangalore,2020-01-11,cust0062@email.com,+91-8522312933,889,False,False
63,Customer_0063,Female,23,Regular,Goa,2021-10-22,cust0063@email.com,+91-8148151005,4748,False,False
64,Customer_0064,Male,22,Occasional,Mumbai,2021-11-16,cust0064@email.com,+91-8704657157,2455,False,False
65,Customer_0065,Male,45,New,Chennai,2020-02-24,cust0065@email.com,+91-7339385087,2333,False,False
66,Customer_0066,Female,58,Occasional,Chennai,2021-05-13,cust0066@email.com,+91-8602244331,4946,False,False
67,Customer_0067,Male,22,New,Goa,2021-03-11,cust0067@email.com,+91-8743874444,110,False,False
68,Customer_0068,Female,35,New,Goa,2021-10-12,cust0068@email.com,+91-8971380304,4715,False,False
69,Customer_0069,Male,43,Occasional,Chennai,2021-05-08,cust0069@email.com,+91-9426665919,792,False,False
70,Customer_0070,Other,37,VIP,Mumbai,2021-09-20,cust0070@email.com,+91-8044569947,4683,False,False
71,Customer_0071,Female,58,New,Bangalore,2020-12-08,cust0071@email.com,+91-9994607170,2643,False,False
72,Customer_0072,Male,66,New,Goa,2021-03-23,cust0072@email.com,+91-7970049535,3414,False,False
73,Customer_0073,Male,44,Occasional,Goa,2020-09-24,cust0073@email.com,+91-8288381269,1309,False,False
74,Customer_0074,Female,66,Regular,Goa,2020-03-22,cust0074@email.com,+91-9937936410,296,False,False
75,Customer_0075,Female,29,Occasional,Delhi,2020-12-24,cust0075@email.com,+91-7346247039,1629,False,False
76,Customer_0076,Female,24,VIP,Mumbai,2021-07-19,cust0076@email.com,+91-9807773530,568,False,False
77,Customer_0077,Female,20,Occasional,Mumbai,2020-12-18,cust0077@email.com,+91-9791275402,4927,False,False
78,Customer_0078,Male,27,VIP,Mumbai,2021-01-03,cust0078@email.com,+91-7136083924,4705,False,False
79,Customer_0079,Male,51,Occasional,Mumbai,2021-06-01,cust0079@email.com,+91-7401581601,4111,False,False
80,Customer_0080,Male,42,Occasional,Mumbai,2020-02-15,cust0080@email.com,+91-8740657035,71,False,False
81,Customer_0081,Female,52,Regular,Chennai,2021-04-03,cust0081@email.com,+91-8628926576,4365,False,False
82,Customer_0082,Female,33,VIP,Goa,2020-01-14,cust0082@email.com,+91-8619930972,4382,False,False
83,Customer_0083,Male,19,Occasional,Chennai,2020-02-02,cust0083@email.com,+91-9373834610,65,False,False
84,Customer_0084,Male,41,Regular,Delhi,2020-03-09,cust0084@email.com,+91-9044426338,879,False,False
85,Customer_0085,Male,27,Regular,Bangalore,2021-10-20,cust0085@email.com,+91-7241011818,67,False,False
86,Customer_0086,Male,55,VIP,Goa,2020-04-18,cust0086@email.com,+91-9734812163,1216,False,False
87,Customer_0087,Female,39,Occasional,Delhi,2020-03-22,cust0087@email.com,+91-7040588163,3027,False,False
88,Customer_0088,Female,43,Regular,Chennai,2021-07-10,cust0088@email.com,+91-7736086849,3239,False,False
89,Customer_0089,Female,60,New,Bangalore,2020-07-04,cust0089@email.com,+91-7355134188,3480,False,False
90,Customer_0090,Male,56,VIP,Delhi,2021-04-26,cust0090@email.com,+91-9146875428,507,False,False
91,Customer_0091,Male,44,New,Bangalore,2021-07-18,cust0091@email.com,+91-8863627766,3714,False,False
92,Customer_0092,Female,46,Occasional,Delhi,2020-09-15,cust0092@email.com,+91-9769855512,2884,False,False
93,Customer_0093,Female,64,Occasional,Chennai,2020-12-09,cust0093@email.com,+91-8422796478,1125,False,False
94,Customer_0094,Female,55,New,Bangalore,2021-03-31,cust0094@email.com,+91-9430335702,885,False,False
95,Customer_0095,Female,37,Occasional,Delhi,2020-03-17,cust0095@email.com,+91-7409575959,2841,False,False
96,Customer_0096,Female,44,VIP,Chennai,2020-01-28,cust0096@email.com,+91-9268426402,3877,False,False
97,Customer_0097,Female,58,Regular,Goa,2020-06-10,cust0097@email.com,+91-7182758417,4870,False,False
98,Customer_0098,Male,37,Occasional,Chennai,2021-05-22,cust0098@email.com,+91-7986839603,2525,False,False
99,Customer_0099,Male,61,Regular,Chennai,2020-01-31,cust0099@email.com,+91-7908029328,925,False,False
100,Customer_0100,Male,36,Regular,Goa,2021-02-03,cust0100@email.com,+91-9973353078,4215,False,False
101,Customer_0101,Male,37,Regular,Chennai,2021-11-05,cust0101@email.com,+91-9434319360,1938,False,False
102,Customer_0102,Female,52,Regular,Goa,2021-05-12,cust0102@email.com,+91-9042258186,3814,False,False
103,Customer_0103,Male,64,New,Goa,2021-11-30,cust0103@email.com,+91-8164344392,3362,False,False
104,Customer_0104,Female,19,Regular,Goa,2021-02-12,cust0104@email.com,+91-7199982132,4583,False,False
105,Customer_0105,Female,47,VIP,Delhi,2020-11-17,cust0105@email.com,+91-7319322484,3232,False,False
106,Customer_0106,Male,51,New,Bangalore,2021-04-02,cust0106@email.com,+91-9939599052,3744,False,False
107,Customer_0107,Male,39,Occasional,Delhi,2021-10-26,cust0107@email.com,+91-8204192904,3465,False,False
108,Customer_0108,Female,20,Regular,Goa,2021-05-30,cust0108@email.com,+91-9332299091,440,False,False
109,Customer_0109,Male,23,VIP,Bangalore,2020-05-31,cust0109@email.com,+91-9420256439,3611,False,False
110,Customer_0110,Male,32,Occasional,Bangalore,2021-02-13,cust0110@email.com,+91-9826557688,461,False,False
111,Customer_0111,Male,44,VIP,Goa,2021-05-29,cust0111@email.com,+91-7141312095,611,False,False
112,Customer_0112,Male,27,New,Bangalore,2020-03-01,cust0112@email.com,+91-7770321709,3471,False,False
113,Customer_0113,Female,26,New,Bangalore,2020-08-08,cust0113@email.com,+91-8350701477,3163,False,False
114,Customer_0114,Female,50,Occasional,Delhi,2020-11-22,cust0114@email.com,+91-7067251004,5,False,False
115,Customer_0115,Female,49,Regular,Bangalore,2020-03-14,cust0115@email.com,+91-7889737338,4776,False,False
116,Customer_0116,Female,65,Occasional,Goa,2020-09-19,cust0116@email.com,+91-9521300895,3970,False,False
117,Customer_0117,Female,23,Regular,Mumbai,2021-08-08,cust0117@email.com,+91-7619298045,2858,False,False
118,Customer_0118,Male,58,New,Mumbai,2021-04-05,cust0118@email.com,+91-8710668371,2606,False,False
119,Customer_0119,Female,53,Regular,Mumbai,2021-08-12,cust0119@email.com,+91-7330444012,98,False,False
120,Customer_0120,Female,19,Regular,Goa,2021-04-24,cust0120@email.com,+91-8285384455,525,False,False
121,Customer_0121,Female,46,New,Mumbai,2020-06-06,cust0121@email.com,+91-7697718498,1180,False,False
122,Customer_0122,Female,21,Occasional,Delhi,2020-06-29,cust0122@email.com,+91-9422182038,1689,False,False
123,Customer_0123,Male,18,Occasional,Goa,2021-04-07,cust0123@email.com,+91-8032820212,1138,False,False
124,Customer_0124,Male,36,Occasional,Goa,2020-05-13,cust0124@email.com,+91-9433940416,4491,False,False
125,Customer_0125,Male,43,New,Goa,2020-10-20,cust0125@email.com,+91-8671414897,4865,False,False
126,Customer_0126,Male,42,Regular,Bangalore,2020-05-14,cust0126@email.com,+91-9907843037,3071,False,False
127,Customer_0127,Female,27,New,Bangalore,2020-11-19,cust0127@email.com,+91-9321697981,2927,False,False
128,Customer_0128,Female,32,Regular,Bangalore,2020-12-27,cust0128@email.com,+91-8424768819,2792,False,False
129,Customer_0129,Male,39,New,Chennai,2021-05-22,cust0129@email.com,+91-8648606935,4778,False,False
130,Customer_0130,Female,68,New,Delhi,2021-08-13,cust0130@email.com,+91-7601083212,14,False,False
131,Customer_0131,Male,65,Regular,Goa,2020-07-29,cust0131@email.com,+91-9960566236,2415,False,False
132,Customer_0132,Male,38,Occasional,Goa,2020-08-14,cust0132@email.com,+91-7336844365,2685,False,False
133,Customer_0133,Male,39,Regular,Bangalore,2021-09-30,cust0133@email.com,+91-9150888898,2900,False,False
134,Customer_0134,Male,53,VIP,Goa,2021-11-14,cust0134@email.com,+91-8485455239,1236,False,False
135,Customer_0135,Female,51,Occasional,Goa,2021-09-11,cust0135@email.com,+91-7230624431,4100,False,False
136,Customer_0136,Male,47,Occasional,Mumbai,2021-07-29,cust0136@email.com,+91-7419557255,3220,False,False
137,Customer_0137,Female,42,Regular,Goa,2020-03-30,cust0137@email.com,+91-8877279755,1607,False,False
138,Customer_0138,Female,62,Regular,Chennai,2021-07-22,cust0138@email.com,+91-7997050893,3563,False,False
139,Customer_0139,Male,45,Regular,Bangalore,2020-02-05,cust0139@email.com,+91-7326495888,3297,False,False
140,Customer_0140,Other,18,Regular,Delhi,2020-10-26,cust0140@email.com,+91-8462834697,2633,False,False
141,Customer_0141,Other,66,Occasional,Delhi,2020-05-01,cust0141@email.com,+91-9599179944,3890,False,False
142,Customer_0142,Male,62,New,Mumbai,2021-10-28,cust0142@email.com,+91-9636531097,4264,False,False
143,Customer_0143,Female,21,VIP,Delhi,2020-12-03,cust0143@email.com,+91-9558119733,2808,False,False
144,Customer_0144,Male,24,Occasional,Delhi,2020-12-07,cust0144@email.com,+91-8703826594,791,False,False
145,Customer_0145,Male,66,New,Bangalore,2020-05-01,cust0145@email.com,+91-8401777036,999,False,False
146,Customer_0146,Male,26,VIP,Bangalore,2020-09-09,cust0146@email.com,+91-7127241247,151,False,False
147,Customer_0147,Female,53,New,Chennai,2020-07-09,cust0147@email.com,+91-9723537339,3063,False,False
148,Customer_0148,Female,36,Occasional,Mumbai,2021-04-19,cust0148@email.com,+91-8173930637,4599,False,False
149,Customer_0149,Male,18,Regular,Delhi,2020-06-14,cust0149@email.com,+91-8935098341,2091,False,False
150,Customer_0150,Male,27,Regular,Chennai,2021-12-21,cust0150@email.com,+91-9107125807,4599,False,False
151,Customer_0151,Female,53,VIP,Mumbai,2020-02-05,cust0151@email.com,+91-7979846924,4082,False,False
152,Customer_0152,Male,26,Regular,Delhi,2021-09-06,cust0152@email.com,+91-8528197464,4026,False,False
153,Customer_0153,Male,62,Regular,Delhi,2020-02-03,cust0153@email.com,+91-9375278922,2977,False,False
154,Customer_0154,Female,63,Occasional,Bangalore,2020-07-01,cust0154@email.com,+91-8612446667,842,False,False
155,Customer_0155,Other,59,Occasional,Goa,2021-04-03,cust0155@email.com,+91-8854772804,4446,False,False
156,Customer_0156,Male,49,Occasional,Mumbai,2020-03-16,cust0156@email.com,+91-7797737957,3793,False,False
157,Customer_0157,Female,49,Regular,Delhi,2021-01-18,cust0157@email.com,+91-9919267198,2070,False,False
158,Customer_0158,Female,23,Occasional,Mumbai,2021-09-09,cust0158@email.com,+91-9516314486,1659,False,False
159,Customer_0159,Male,65,Occasional,Chennai,2021-03-07,cust0159@email.com,+91-9837564236,597,False,False
160,Customer_0160,Female,55,New,Chennai,2020-10-13,cust0160@email.com,+91-8632399901,2513,False,False
161,Customer_0161,Male,34,VIP,Goa,2021-07-24,cust0161@email.com,+91-7368053428,4135,False,False
162,Customer_0162,Female,27,New,Delhi,2020-09-24,cust0162@email.com,+91-9656935034,4270,False,False
163,Customer_0163,Female,67,New,Bangalore,2021-12-29,cust0163@email.com,+91-8268645208,3603,False,False
164,Customer_0164,Female,44,Occasional,Delhi,2021-04-07,cust0164@email.com,+91-8058493748,1216,False,False
165,Customer_0165,Male,67,Regular,Mumbai,2020-08-07,cust0165@email.com,+91-7315708805,2291,False,False
166,Customer_0166,Female,52,VIP,Chennai,2021-07-03,cust0166@email.com,+91-7352350576,4931,False,False
167,Customer_0167,Male,69,Occasional,Mumbai,2020-07-31,cust0167@email.com,+91-8150931110,3811,False,False
168,Customer_0168,Male,38,Occasional,Goa,2021-09-15,cust0168@email.com,+91-7662373991,4993,False,False
169,Customer_0169,Male,42,Occasional,Chennai,2020-04-01,cust0169@email.com,+91-8632087531,931,False,False
170,Customer_0170,Female,45,Occasional,Bangalore,2021-03-02,cust0170@email.com,+91-9722583581,2138,False,False
171,Customer_0171,Female,64,Regular,Chennai,2020-03-18,cust0171@email.com,+91-7662614186,4002,False,False
172,Customer_0172,Male,32,Occasional,Delhi,2020-07-31,cust0172@email.com,+91-8673413661,2978,False,False
173,Customer_0173,Female,21,Regular,Delhi,2020-04-18,cust0173@email.com,+91-8360122653,3892,False,False
174,Customer_0174,Male,46,New,Chennai,2021-06-12,cust0174@email.com,+91-8549195708,4595,False,False
175,Customer_0175,Female,26,Regular,Goa,2021-07-29,cust0175@email.com,+91-7457632732,2918,False,False
176,Customer_0176,Male,44,Regular,Delhi,2020-12-15,cust0176@email.com,+91-7393077279,2564,False,False
177,Customer_0177,Female,43,Occasional,Delhi,2021-07-20,cust0177@email.com,+91-7022313296,1763,False,False
178,Customer_0178,Male,36,VIP,Bangalore,2020-06-28,cust0178@email.com,+91-8323998648,2170,False,False
179,Customer_0179,Female,45,Occasional,Chennai,2020-07-07,cust0179@email.com,+91-8910126009,335,False,False
180,Customer_0180,Male,34,Regular,Delhi,2022-01-01,cust0180@email.com,+91-8545833869,1176,False,False
181,Customer_0181,Male,60,Occasional,Goa,2020-04-28,cust0181@email.com,+91-8158638062,3021,False,False
182,Customer_0182,Male,58,Regular,Mumbai,2021-02-04,cust0182@email.com,+91-7439080604,778,False,False
183,Customer_0183,Female,59,New,Chennai,2020-08-19,cust0183@email.com,+91-7569113257,1185,False,False
184,Customer_0184,Female,67,New,Bangalore,2021-12-13,cust0184@email.com,+91-7374938761,3285,False,False
185,Customer_0185,Male,37,Occasional,Delhi,2021-09-09,cust0185@email.com,+91-7804841598,3447,False,False
186,Customer_0186,Female,62,Regular,Goa,2020-12-26,cust0186@email.com,+91-8851042925,3991,False,False
187,Customer_0187,Female,57,VIP,Chennai,2021-02-21,cust0187@email.com,+91-8927768913,2470,False,False
188,Customer_0188,Female,56,Regular,Goa,2021-05-01,cust0188@email.com,+91-9392232487,938,False,False
189,Customer_0189,Female,66,Occasional,Goa,2021-11-03,cust0189@email.com,+91-9382590159,4899,False,False
190,Customer_0190,Male,40,Regular,Bangalore,2021-04-30,cust0190@email.com,+91-9200916676,4006,False,False
191,Customer_0191,Male,64,New,Chennai,2020-05-31,cust0191@email.com,+91-8752536389,1935,False,False
192,Customer_0192,Female,49,Regular,Delhi,2021-10-13,cust0192@email.com,+91-7443639751,633,False,False
193,Customer_0193,Female,69,Occasional,Bangalore,2021-10-06,cust0193@email.com,+91-7112794026,1253,False,False
194,Customer_0194,Female,64,VIP,Delhi,2020-08-22,cust0194@email.com,+91-7384909986,1082,False,False
195,Customer_0195,Male,50,Occasional,Mumbai,2021-10-23,cust0195@email.com,+91-8520050282,2143,False,False
196,Customer_0196,Male,63,Regular,Goa,2020-07-05,cust0196@email.com,+91-9380355948,1285,False,False
197,Customer_0197,Female,22,New,Mumbai,2021-08-26,cust0197@email.com,+91-7399707954,353,False,False
198,Customer_0198,Female,60,Occasional,Goa,2021-08-23,cust0198@email.com,+91-9563771436,1885,False,False
199,Customer_0199,Female,65,Occasional,Bangalore,2020-02-26,cust0199@email.com,+91-9568578538,1818,False,False
200,Customer_0200,Female,51,Regular,Delhi,2020-09-02,cust0200@email.com,+91-8393417638,2520,False,False
201,Customer_0201,Female,57,Occasional,Delhi,2020-06-18,cust0201@email.com,+91-8654584280,4008,False,False
202,Customer_0202,Male,28,Occasional,Bangalore,2021-07-16,cust0202@email.com,+91-7053002550,3022,False,False
203,Customer_0203,Male,67,Regular,Chennai,2021-04-05,cust0203@email.com,+91-8253474844,2584,False,False
204,Customer_0204,Female,20,Regular,Mumbai,2020-07-10,cust0204@email.com,+91-8777300707,1547,False,False
205,Customer_0205,Female,50,New,Mumbai,2020-04-20,cust0205@email.com,+91-8665586415,4018,False,False
206,Customer_0206,Male,28,Regular,Delhi,2020-10-25,cust0206@email.com,+91-7363781647,4204,False,False
207,Customer_0207,Male,33,Regular,Delhi,2021-05-30,cust0207@email.com,+91-9403191167,1368,False,False
208,Customer_0208,Female,35,Occasional,Delhi,2020-06-28,cust0208@email.com,+91-8042571199,3337,False,False
209,Customer_0209,Male,47,New,Bangalore,2020-01-26,cust0209@email.com,+91-9456551333,1757,False,False
210,Customer_0210,Male,65,Regular,Chennai,2021-06-10,cust0210@email.com,+91-9238126936,1517,False,False
211,Customer_0211,Female,27,Occasional,Mumbai,2020-01-02,cust0211@email.com,+91-7728353118,4917,False,False
212,Customer_0212,Female,35,Regular,Goa,2021-02-16,cust0212@email.com,+91-9943409776,3484,False,False
213,Customer_0213,Female,55,Regular,Bangalore,2020-11-19,cust0213@email.com,+91-8635231601,3685,False,False
214,Customer_0214,Male,36,Regular,Mumbai,2020-02-14,cust0214@email.com,+91-7728004476,3052,False,False
215,Customer_0215,Female,53,New,Chennai,2020-03-07,cust0215@email.com,+91-7596313527,2696,False,False
216,Customer_0216,Male,30,Regular,Bangalore,2020-12-15,cust0216@email.com,+91-8154998170,190,False,False
217,Customer_0217,Male,63,Regular,Mumbai,2020-10-10,cust0217@email.com,+91-8293348937,932,False,False
218,Customer_0218,Female,20,Occasional,Bangalore,2020-07-21,cust0218@email.com,+91-8152798401,4237,False,False
219,Customer_0219,Female,27,New,Mumbai,2020-09-26,cust0219@email.com,+91-9117951204,3238,False,False
220,Customer_0220,Female,55,Regular,Mumbai,2021-08-31,cust0220@email.com,+91-7626785308,2215,False,False
221,Customer_0221,Female,18,Occasional,Chennai,2021-04-23,cust0221@email.com,+91-7271730355,565,False,False
222,Customer_0222,Female,44,Regular,Goa,2021-05-16,cust0222@email.com,+91-7718150313,1134,False,False
223,Customer_0223,Male,63,Occasional,Chennai,2021-10-28,cust0223@email.com,+91-8866920369,743,False,False
224,Customer_0224,Male,25,Occasional,Mumbai,2021-01-20,cust0224@email.com,+91-8185247208,672,False,False
225,Customer_0225,Male,68,Occasional,Bangalore,2021-12-11,cust0225@email.com,+91-8808620775,2911,False,False
226,Customer_0226,Male,63,Regular,Chennai,2020-05-09,cust0226@email.com,+91-8287426116,530,False,False
227,Customer_0227,Other,59,Regular,Goa,2020-06-13,cust0227@email.com,+91-9079757650,3021,False,False
228,Customer_0228,Male,34,Regular,Mumbai,2021-05-11,cust0228@email.com,+91-7330374745,561,False,False
229,Customer_0229,Female,26,Occasional,Chennai,2020-05-09,cust0229@email.com,+91-8551019709,301,False,False
230,Customer_0230,Female,23,Regular,Chennai,2021-05-21,cust0230@email.com,+91-8081042134,3767,False,False
231,Customer_0231,Female,60,New,Chennai,2021-12-25,cust0231@email.com,+91-8059096258,4280,False,False
232,Customer_0232,Female,42,New,Chennai,2021-10-21,cust0232@email.com,+91-9684499242,509,False,False
233,Customer_0233,Female,56,New,Bangalore,2020-01-08,cust0233@email.com,+91-9129455245,3445,False,False
234,Customer_0234,Female,66,New,Goa,2020-03-26,cust0234@email.com,+91-9550379054,2203,False,False
235,Customer_0235,Male,45,Occasional,Goa,2021-11-02,cust0235@email.com,+91-9648572296,2834,False,False
236,Customer_0236,Female,50,VIP,Mumbai,2021-05-12,cust0236@email.com,+91-7839873216,794,False,False
237,Customer_0237,Male,54,Regular,Delhi,2021-10-24,cust0237@email.com,+91-8966500767,2479,False,False
238,Customer_0238,Male,26,Occasional,Bangalore,2021-11-30,cust0238@email.com,+91-7459442845,1523,False,False
239,Customer_0239,Female,35,Occasional,Mumbai,2021-01-28,cust0239@email.com,+91-7581923103,4856,False,False
240,Customer_0240,Male,38,Occasional,Mumbai,2021-10-21,cust0240@email.com,+91-8308496151,2194,False,False
241,Customer_0241,Female,19,New,Chennai,2020-07-24,cust0241@email.com,+91-7029065628,2528,False,False
242,Customer_0242,Female,60,Regular,Delhi,2021-05-03,cust0242@email.com,+91-8699484121,434,False,False
243,Customer_0243,Female,55,Regular,Delhi,2021-03-22,cust0243@email.com,+91-8426862057,2038,False,False
244,Customer_0244,Male,57,New,Bangalore,2020-02-16,cust0244@email.com,+91-9663705160,1706,False,False
245,Customer_0245,Male,53,Regular,Delhi,2020-08-22,cust0245@email.com,+91-8631614931,68,False,False
246,Customer_0246,Female,67,Occasional,Mumbai,2021-05-27,cust0246@email.com,+91-8415370893,1904,False,False
247,Customer_0247,Male,60,New,Delhi,2020-06-28,cust0247@email.com,+91-8890743044,3959,False,False
248,Customer_0248,Other,54,Occasional,Delhi,2021-08-19,cust0248@email.com,+91-8437681124,2951,False,False
249,Customer_0249,Other,32,Occasional,Goa,2020-05-27,cust0249@email.com,+91-8849482575,4649,False,False
250,Customer_0250,Female,45,Regular,Mumbai,2020-05-21,cust0250@email.com,+91-9796181989,2713,False,False
251,Customer_0251,Male,35,Regular,Delhi,2020-09-04,cust0251@email.com,+91-9552898167,3369,False,False
252,Customer_0252,Male,51,New,Delhi,2021-04-28,cust0252@email.com,+91-7584650163,4595,False,False
253,Customer_0253,Female,39,Occasional,Chennai,2020-09-04,cust0253@email.com,+91-8290359719,3727,False,False
254,Customer_0254,Male,28,Occasional,Delhi,2020-11-11,cust0254@email.com,+91-8377246344,2404,False,False
255,Customer_0255,Male,30,Regular,Delhi,2021-06-21,cust0255@email.com,+91-9590772665,3325,False,False
256,Customer_0256,Female,21,Regular,Goa,2021-09-27,cust0256@email.com,+91-9986257683,3546,False,False
257,Customer_0257,Female,39,New,Mumbai,2021-09-24,cust0257@email.com,+91-7862650571,2303,False,False
