customer_id,customer_name,gender,age,customer_type,city,join_date,email,phone,loyalty_points,age_group,Recency,Frequency,Monetary,Recency_Score,Frequency_Score,Monetary_Score,RFM_Group,RFM_Score,Segment
26,Customer_0026,Female,45,Regular,Goa,2020-06-22,cust0026@email.com,+91-8958546579,3833,45-54,238.0,5.0,18904.28,2.0,3.0,3.0,233,8.0,At Risk
27,Customer_0027,Male,31,New,Chennai,2020-10-29,cust0027@email.com,+91-8602884797,4929,25-34,405.0,3.0,8905.84,1.0,1.0,1.0,111,3.0,Lost / Hibernating
28,Customer_0028,Female,22,Regular,Bangalore,2021-05-21,cust0028@email.com,+91-7259631271,4412,<25,536.0,5.0,17811.35,1.0,3.0,3.0,133,7.0,At Risk
29,Customer_0029,Female,50,New,Delhi,2020-09-29,cust0029@email.com,+91-9653582116,1330,45-54,46.0,7.0,25749.24,5.0,4.0,4.0,544,13.0,Champions
30,Customer_0030,Male,67,Regular,Mumbai,2020-05-08,cust0030@email.com,+91-9739023440,4446,55+,73.0,10.0,28891.72,4.0,5.0,5.0,455,14.0,Champions
31,Customer_0031,Female,65,VIP,Bangalore,2021-03-23,cust0031@email.com,+91-9863689749,510,55+,299.0,1.0,2598.86,2.0,1.0,1.0,211,4.0,About to Sleep
32,Customer_0032,Male,58,Occasional,Bangalore,2021-12-26,cust0032@email.com,+91-9647930485,2572,55+,229.0,5.0,15018.99,2.0,3.0,3.0,233,8.0,At Risk
33,Customer_0033,Male,36,New,Goa,2021-07-22,cust0033@email.com,+91-9075346043,3929,35-44,213.0,5.0,15799.130000000001,2.0,3.0,3.0,233,8.0,At Risk
34,Customer_0034,Female,39,Occasional,Chennai,2020-01-18,cust0034@email.com,+91-9831604672,491,35-44,221.0,5.0,20551.39,2.0,3.0,4.0,234,9.0,At Risk
35,Customer_0035,Other,22,Occasional,Mumbai,2020-10-26,cust0035@email.com,+91-9095318649,1617,<25,161.0,7.0,29100.69,3.0,4.0,5.0,345,12.0,Loyal Customers
36,Customer_0036,Female,19,Regular,Bangalore,2021-01-18,cust0036@email.com,+91-7067567428,2056,<25,6.0,14.0,72879.05,5.0,5.0,5.0,555,15.0,Champions
37,Customer_0037,Male,47,Regular,Goa,2021-03-23,cust0037@email.com,+91-7028399849,1520,45-54,61.0,6.0,22314.13,4.0,4.0,4.0,444,12.0,Champions
38,Customer_0038,Male,64,New,Mumbai,2021-07-26,cust0038@email.com,+91-9285835206,1583,55+,305.0,2.0,9363.789999999999,2.0,1.0,2.0,212,5.0,About to Sleep
39,Customer_0039,Female,56,Regular,Chennai,2021-05-26,cust0039@email.com,+91-9369291047,1575,55+,279.0,4.0,15310.95,2.0,2.0,3.0,223,7.0,Need Attention
40,Customer_0040,Male,21,Occasional,Bangalore,2021-01-22,cust0040@email.com,+91-8766685440,3946,<25,303.0,7.0,23125.02,2.0,4.0,4.0,244,10.0,At Risk
41,Customer_0041,Male,50,New,Bangalore,2021-09-19,cust0041@email.com,+91-7050899550,1761,45-54,363.0,5.0,14711.22,1.0,3.0,3.0,133,7.0,At Risk
42,Customer_0042,Female,30,Regular,Bangalore,2021-09-29,cust0042@email.com,+91-7071838242,1991,25-34,,,,,,,,,
43,Customer_0043,Male,37,New,Mumbai,2020-12-08,cust0043@email.com,+91-9273831457,3179,35-44,5.0,7.0,19678.05,5.0,4.0,4.0,544,13.0,Champions
44,Customer_0044,Female,24,VIP,Mumbai,2021-09-24,cust0044@email.com,+91-8180002487,3326,<25,741.0,1.0,7803.490000000001,1.0,1.0,1.0,111,3.0,Lost / Hibernating
45,Customer_0045,Male,32,Occasional,Mumbai,2020-12-30,cust0045@email.com,+91-9300977631,1046,25-34,150.0,6.0,20325.61,3.0,4.0,4.0,344,11.0,Loyal Customers
46,Customer_0046,Female,40,New,Mumbai,2021-01-14,cust0046@email.com,+91-8231317910,2892,35-44,217.0,6.0,27478.3,2.0,4.0,5.0,245,11.0,At Risk
47,Customer_0047,Male,31,Regular,Goa,2020-04-23,cust0047@email.com,+91-7073626894,2613,25-34,35.0,1.0,3352.8900000000003,5.0,1.0,1.0,511,7.0,New Customers
48,Customer_0048,Female,40,Regular,Delhi,2021-04-06,cust0048@email.com,+91-9157001409,3892,35-44,77.0,6.0,20302.62,4.0,4.0,4.0,444,12.0,Champions
49,Customer_0049,Female,36,Occasional,Goa,2021-11-18,cust0049@email.com,+91-9997281896,4144,35-44,47.0,8.0,28561.07,5.0,5.0,5.0,555,15.0,Champions
50,Customer_0050,Male,46,Regular,Bangalore,2020-09-18,cust0050@email.com,+91-9894949501,461,45-54,259.0,4.0,15879.029999999999,2.0,2.0,3.0,223,7.0,Need Attention
51,Customer_0051,Other,37,VIP,Goa,2020-07-01,cust0051@email.com,+91-8849297832,4431,35-44,60.0,6.0,15308.02,4.0,4.0,3.0,443,11.0,Champions
52,Customer_0052,Female,46,New,Chennai,2021-08-27,cust0052@email.com,+91-7769945233,1381,45-54,246.0,6.0,18450.86,2.0,4.0,3.0,243,9.0,At Risk
53,Customer_0053,Female,41,Occasional,Mumbai,2020-12-10,cust0053@email.com,+91-7459632043,1145,35-44,426.0,3.0,14843.630000000001,1.0,1.0,3.0,113,5.0,Lost / Hibernating
54,Customer_0054,Female,35,Regular,Chennai,2021-10-13,cust0054@email.com,+91-7413665007,3515,35-44,114.0,8.0,26057.79,4.0,5.0,4.0,454,13.0,Champions
55,Customer_0055,Female,27,New,Chennai,2020-06-15,cust0055@email.com,+91-9252218154,4454,25-34,63.0,7.0,25276.29,4.0,4.0,4.0,444,12.0,Champions
56,Customer_0056,Female,58,Occasional,Bangalore,2021-03-07,cust0056@email.com,+91-7639509845,192,55+,343.0,6.0,17683.33,2.0,4.0,3.0,243,9.0,At Risk
57,Customer_0057,Male,25,Occasional,Mumbai,2020-03-29,cust0057@email.com,+91-8034953269,3534,25-34,289.0,3.0,10084.36,2.0,1.0,2.0,212,5.0,About to Sleep
58,Customer_0058,Male,43,Occasional,Chennai,2020-04-08,cust0058@email.com,+91-7824341906,755,35-44,94.0,6.0,19553.82,4.0,4.0,4.0,444,12.0,Champions
59,Customer_0059,Male,46,New,Bangalore,2020-12-27,cust0059@email.com,+91-9661938440,1684,45-54,357.0,5.0,18815.52,1.0,3.0,3.0,133,7.0,At Risk
60,Customer_0060,Male,27,Occasional,Mumbai,2020-05-20,cust0060@email.com,+91-9261111254,2525,25-34,250.0,4.0,10501.25,2.0,2.0,2.0,222,6.0,Need Attention
61,Customer_0061,Male,34,New,Delhi,2021-06-19,cust0061@email.com,+91-8084127872,827,25-34,188.0,10.0,29646.97,3.0,5.0,5.0,355,13.0,Loyal Customers
62,Customer_0062,Male,19,New,Bangalore,2020-01-11,cust0062@email.com,+91-8522312933,889,<25,77.0,5.0,19016.48,4.0,3.0,3.0,433,10.0,Loyal Customers
63,Customer_0063,Female,23,Regular,Goa,2021-10-22,cust0063@email.com,+91-8148151005,4748,<25,244.0,6.0,28871.54,2.0,4.0,5.0,245,11.0,At Risk
64,Customer_0064,Male,22,Occasional,Mumbai,2021-11-16,cust0064@email.com,+91-8704657157,2455,<25,179.0,7.0,22344.77,3.0,4.0,4.0,344,11.0,Loyal Customers
65,Customer_0065,Male,45,New,Chennai,2020-02-24,cust0065@email.com,+91-7339385087,2333,45-54,145.0,4.0,16005.89,3.0,2.0,3.0,323,8.0,Need Attention
66,Customer_0066,Female,58,Occasional,Chennai,2021-05-13,cust0066@email.com,+91-8602244331,4946,55+,257.0,5.0,16121.15,2.0,3.0,3.0,233,8.0,At Risk
67,Customer_0067,Male,22,New,Goa,2021-03-11,cust0067@email.com,+91-8743874444,110,<25,464.0,5.0,11221.74,1.0,3.0,2.0,132,6.0,At Risk
68,Customer_0068,Female,35,New,Goa,2021-10-12,cust0068@email.com,+91-8971380304,4715,35-44,21.0,5.0,19342.960000000003,5.0,3.0,4.0,534,12.0,Loyal Customers
69,Customer_0069,Male,43,Occasional,Chennai,2021-05-08,cust0069@email.com,+91-9426665919,792,35-44,11.0,5.0,23616.11,5.0,3.0,4.0,534,12.0,Loyal Customers
70,Customer_0070,Other,37,VIP,Mumbai,2021-09-20,cust0070@email.com,+91-8044569947,4683,35-44,96.0,6.0,13570.34,4.0,4.0,2.0,442,10.0,Champions
71,Customer_0071,Female,58,New,Bangalore,2020-12-08,cust0071@email.com,+91-9994607170,2643,55+,351.0,4.0,5644.74,2.0,2.0,1.0,221,5.0,Need Attention
72,Customer_0072,Male,66,New,Goa,2021-03-23,cust0072@email.com,+91-7970049535,3414,55+,145.0,4.0,14587.19,3.0,2.0,3.0,323,8.0,Need Attention
73,Customer_0073,Male,44,Occasional,Goa,2020-09-24,cust0073@email.com,+91-8288381269,1309,35-44,354.0,4.0,19169.29,2.0,2.0,3.0,223,7.0,Need Attention
74,Customer_0074,Female,66,Regular,Goa,2020-03-22,cust0074@email.com,+91-9937936410,296,55+,18.0,6.0,28340.11,5.0,4.0,5.0,545,14.0,Champions
75,Customer_0075,Female,29,Occasional,Delhi,2020-12-24,cust0075@email.com,+91-7346247039,1629,25-34,895.0,3.0,10627.880000000001,1.0,1.0,2.0,112,4.0,Lost / Hibernating
76,Customer_0076,Female,24,VIP,Mumbai,2021-07-19,cust0076@email.com,+91-9807773530,568,<25,834.0,1.0,1246.49,1.0,1.0,1.0,111,3.0,Lost / Hibernating
77,Customer_0077,Female,20,Occasional,Mumbai,2020-12-18,cust0077@email.com,+91-9791275402,4927,<25,98.0,12.0,51058.49,4.0,5.0,5.0,455,14.0,Champions
78,Customer_0078,Male,27,VIP,Mumbai,2021-01-03,cust0078@email.com,+91-7136083924,4705,25-34,368.0,2.0,8621.56,1.0,1.0,1.0,111,3.0,Lost / Hibernating
79,Customer_0079,Male,51,Occasional,Mumbai,2021-06-01,cust0079@email.com,+91-7401581601,4111,45-54,328.0,7.0,32015.42,2.0,4.0,5.0,245,11.0,At Risk
80,Customer_0080,Male,42,Occasional,Mumbai,2020-02-15,cust0080@email.com,+91-8740657035,71,35-44,214.0,4.0,20552.59,2.0,2.0,4.0,224,8.0,Need Attention
81,Customer_0081,Female,52,Regular,Chennai,2021-04-03,cust0081@email.com,+91-8628926576,4365,45-54,359.0,4.0,16140.17,1.0,2.0,3.0,123,6.0,Lost / Hibernating
82,Customer_0082,Female,33,VIP,Goa,2020-01-14,cust0082@email.com,+91-8619930972,4382,25-34,87.0,9.0,25480.84,4.0,5.0,4.0,454,13.0,Champions
83,Customer_0083,Male,19,Occasional,Chennai,2020-02-02,cust0083@email.com,+91-9373834610,65,<25,282.0,6.0,16467.829999999998,2.0,4.0,3.0,243,9.0,At Risk
84,Customer_0084,Male,41,Regular,Delhi,2020-03-09,cust0084@email.com,+91-9044426338,879,35-44,167.0,5.0,15730.550000000001,3.0,3.0,3.0,333,9.0,Loyal Customers
85,Customer_0085,Male,27,Regular,Bangalore,2021-10-20,cust0085@email.com,+91-7241011818,67,25-34,56.0,6.0,25485.32,4.0,4.0,4.0,444,12.0,Champions
86,Customer_0086,Male,55,VIP,Goa,2020-04-18,cust0086@email.com,+91-9734812163,1216,55+,53.0,5.0,18338.77,5.0,3.0,3.0,533,11.0,Loyal Customers
87,Customer_0087,Female,39,Occasional,Delhi,2020-03-22,cust0087@email.com,+91-7040588163,3027,35-44,70.0,1.0,3540.15,4.0,1.0,1.0,411,6.0,New Customers
88,Customer_0088,Female,43,Regular,Chennai,2021-07-10,cust0088@email.com,+91-7736086849,3239,35-44,30.0,2.0,10578.66,5.0,1.0,2.0,512,8.0,New Customers
89,Customer_0089,Female,60,New,Bangalore,2020-07-04,cust0089@email.com,+91-7355134188,3480,55+,926.0,1.0,2824.2200000000003,1.0,1.0,1.0,111,3.0,Lost / Hibernating
90,Customer_0090,Male,56,VIP,Delhi,2021-04-26,cust0090@email.com,+91-9146875428,507,55+,180.0,5.0,15116.539999999999,3.0,3.0,3.0,333,9.0,Loyal Customers
91,Customer_0091,Male,44,New,Bangalore,2021-07-18,cust0091@email.com,+91-8863627766,3714,35-44,251.0,5.0,25617.31,2.0,3.0,4.0,234,9.0,At Risk
92,Customer_0092,Female,46,Occasional,Delhi,2020-09-15,cust0092@email.com,+91-9769855512,2884,45-54,462.0,5.0,15619.460000000001,1.0,3.0,3.0,133,7.0,At Risk
93,Customer_0093,Female,64,Occasional,Chennai,2020-12-09,cust0093@email.com,+91-8422796478,1125,55+,265.0,2.0,10268.51,2.0,1.0,2.0,212,5.0,About to Sleep
94,Customer_0094,Female,55,New,Bangalore,2021-03-31,cust0094@email.com,+91-9430335702,885,55+,80.0,5.0,12280.58,4.0,3.0,2.0,432,9.0,Loyal Customers
95,Customer_0095,Female,37,Occasional,Delhi,2020-03-17,cust0095@email.com,+91-7409575959,2841,35-44,31.0,8.0,33998.880000000005,5.0,5.0,5.0,555,15.0,Champions
96,Customer_0096,Female,44,VIP,Chennai,2020-01-28,cust0096@email.com,+91-9268426402,3877,35-44,520.0,2.0,3958.58,1.0,1.0,1.0,111,3.0,Lost / Hibernating
97,Customer_0097,Female,58,Regular,Goa,2020-06-10,cust0097@email.com,+91-7182758417,4870,55+,38.0,8.0,26503.84,5.0,5.0,5.0,555,15.0,Champions
98,Customer_0098,Male,37,Occasional,Chennai,2021-05-22,cust0098@email.com,+91-7986839603,2525,35-44,324.0,6.0,25885.55,2.0,4.0,4.0,244,10.0,At Risk
99,Customer_0099,Male,61,Regular,Chennai,2020-01-31,cust0099@email.com,+91-7908029328,925,55+,257.0,2.0,5740.32,2.0,1.0,1.0,211,4.0,About to Sleep
100,Customer_0100,Male,36,Regular,Goa,2021-02-03,cust0100@email.com,+91-9973353078,4215,35-44,84.0,5.0,6369.04,4.0,3.0,1.0,431,8.0,Loyal Customers
101,Customer_0101,Male,37,Regular,Chennai,2021-11-05,cust0101@email.com,+91-9434319360,1938,35-44,5.0,3.0,3702.4399999999996,5.0,1.0,1.0,511,7.0,New Customers
102,Customer_0102,Female,52,Regular,Goa,2021-05-12,cust0102@email.com,+91-9042258186,3814,45-54,536.0,2.0,3186.8599999999997,1.0,1.0,1.0,111,3.0,Lost / Hibernating
103,Customer_0103,Male,64,New,Goa,2021-11-30,cust0103@email.com,+91-8164344392,3362,55+,73.0,4.0,7647.9,4.0,2.0,1.0,421,7.0,Potential Loyalists
104,Customer_0104,Female,19,Regular,Goa,2021-02-12,cust0104@email.com,+91-7199982132,4583,<25,498.0,5.0,10166.02,1.0,3.0,2.0,132,6.0,At Risk
105,Customer_0105,Female,47,VIP,Delhi,2020-11-17,cust0105@email.com,+91-7319322484,3232,45-54,132.0,4.0,11748.02,3.0,2.0,2.0,322,7.0,Need Attention
106,Customer_0106,Male,51,New,Bangalore,2021-04-02,cust0106@email.com,+91-9939599052,3744,45-54,155.0,7.0,13982.46,3.0,4.0,3.0,343,10.0,Loyal Customers
107,Customer_0107,Male,39,Occasional,Delhi,2021-10-26,cust0107@email.com,+91-8204192904,3465,35-44,49.0,8.0,20666.48,5.0,5.0,4.0,554,14.0,Champions
108,Customer_0108,Female,20,Regular,Goa,2021-05-30,cust0108@email.com,+91-9332299091,440,<25,116.0,9.0,28711.13,3.0,5.0,5.0,355,13.0,Loyal Customers
109,Customer_0109,Male,23,VIP,Bangalore,2020-05-31,cust0109@email.com,+91-9420256439,3611,<25,495.0,3.0,9719.5,1.0,1.0,2.0,112,4.0,Lost / Hibernating
110,Customer_0110,Male,32,Occasional,Bangalore,2021-02-13,cust0110@email.com,+91-9826557688,461,25-34,10.0,8.0,32053.28,5.0,5.0,5.0,555,15.0,Champions
111,Customer_0111,Male,44,VIP,Goa,2021-05-29,cust0111@email.com,+91-7141312095,611,35-44,24.0,2.0,3918.23,5.0,1.0,1.0,511,7.0,New Customers
112,Customer_0112,Male,27,New,Bangalore,2020-03-01,cust0112@email.com,+91-7770321709,3471,25-34,463.0,4.0,13535.49,1.0,2.0,2.0,122,5.0,Lost / Hibernating
113,Customer_0113,Female,26,New,Bangalore,2020-08-08,cust0113@email.com,+91-8350701477,3163,25-34,181.0,4.0,12688.24,3.0,2.0,2.0,322,7.0,Need Attention
114,Customer_0114,Female,50,Occasional,Delhi,2020-11-22,cust0114@email.com,+91-7067251004,5,45-54,325.0,6.0,20558.65,2.0,4.0,4.0,244,10.0,At Risk
115,Customer_0115,Female,49,Regular,Bangalore,2020-03-14,cust0115@email.com,+91-7889737338,4776,45-54,353.0,5.0,24405.95,2.0,3.0,4.0,234,9.0,At Risk
116,Customer_0116,Female,65,Occasional,Goa,2020-09-19,cust0116@email.com,+91-9521300895,3970,55+,171.0,3.0,11615.26,3.0,1.0,2.0,312,6.0,Promising
117,Customer_0117,Female,23,Regular,Mumbai,2021-08-08,cust0117@email.com,+91-7619298045,2858,<25,468.0,5.0,11957.31,1.0,3.0,2.0,132,6.0,At Risk
118,Customer_0118,Male,58,New,Mumbai,2021-04-05,cust0118@email.com,+91-8710668371,2606,55+,8.0,3.0,16627.67,5.0,1.0,3.0,513,9.0,New Customers
119,Customer_0119,Female,53,Regular,Mumbai,2021-08-12,cust0119@email.com,+91-7330444012,98,45-54,23.0,3.0,7045.91,5.0,1.0,1.0,511,7.0,New Customers
120,Customer_0120,Female,19,Regular,Goa,2021-04-24,cust0120@email.com,+91-8285384455,525,<25,393.0,2.0,2999.2,1.0,1.0,1.0,111,3.0,Lost / Hibernating
121,Customer_0121,Female,46,New,Mumbai,2020-06-06,cust0121@email.com,+91-7697718498,1180,45-54,74.0,7.0,36205.6,4.0,4.0,5.0,445,13.0,Champions
122,Customer_0122,Female,21,Occasional,Delhi,2020-06-29,cust0122@email.com,+91-9422182038,1689,<25,13.0,8.0,30302.059999999998,5.0,5.0,5.0,555,15.0,Champions
123,Customer_0123,Male,18,Occasional,Goa,2021-04-07,cust0123@email.com,+91-8032820212,1138,<25,241.0,8.0,36428.54,2.0,5.0,5.0,255,12.0,At Risk
124,Customer_0124,Male,36,Occasional,Goa,2020-05-13,cust0124@email.com,+91-9433940416,4491,35-44,93.0,4.0,9077.46,4.0,2.0,1.0,421,7.0,Potential Loyalists
125,Customer_0125,Male,43,New,Goa,2020-10-20,cust0125@email.com,+91-8671414897,4865,35-44,411.0,5.0,17124.28,1.0,3.0,3.0,133,7.0,At Risk
126,Customer_0126,Male,42,Regular,Bangalore,2020-05-14,cust0126@email.com,+91-9907843037,3071,35-44,446.0,4.0,12164.26,1.0,2.0,2.0,122,5.0,Lost / Hibernating
127,Customer_0127,Female,27,New,Bangalore,2020-11-19,cust0127@email.com,+91-9321697981,2927,25-34,86.0,5.0,17881.84,4.0,3.0,3.0,433,10.0,Loyal Customers
128,Customer_0128,Female,32,Regular,Bangalore,2020-12-27,cust0128@email.com,+91-8424768819,2792,25-34,261.0,5.0,25047.84,2.0,3.0,4.0,234,9.0,At Risk
129,Customer_0129,Male,39,New,Chennai,2021-05-22,cust0129@email.com,+91-8648606935,4778,35-44,209.0,7.0,34685.08,2.0,4.0,5.0,245,11.0,At Risk
130,Customer_0130,Female,68,New,Delhi,2021-08-13,cust0130@email.com,+91-7601083212,14,55+,131.0,3.0,5955.46,3.0,1.0,1.0,311,5.0,Promising
131,Customer_0131,Male,65,Regular,Goa,2020-07-29,cust0131@email.com,+91-9960566236,2415,55+,416.0,5.0,31268.41,1.0,3.0,5.0,135,9.0,At Risk
132,Customer_0132,Male,38,Occasional,Goa,2020-08-14,cust0132@email.com,+91-7336844365,2685,35-44,126.0,7.0,24633.24,3.0,4.0,4.0,344,11.0,Loyal Customers
133,Customer_0133,Male,39,Regular,Bangalore,2021-09-30,cust0133@email.com,+91-9150888898,2900,35-44,41.0,4.0,14197.66,5.0,2.0,3.0,523,10.0,Potential Loyalists
134,Customer_0134,Male,53,VIP,Goa,2021-11-14,cust0134@email.com,+91-8485455239,1236,45-54,126.0,5.0,22071.12,3.0,3.0,4.0,334,10.0,Loyal Customers
135,Customer_0135,Female,51,Occasional,Goa,2021-09-11,cust0135@email.com,+91-7230624431,4100,45-54,135.0,3.0,9136.94,3.0,1.0,1.0,311,5.0,Promising
136,Customer_0136,Male,47,Occasional,Mumbai,2021-07-29,cust0136@email.com,+91-7419557255,3220,45-54,19.0,9.0,41088.31,5.0,5.0,5.0,555,15.0,Champions
137,Customer_0137,Female,42,Regular,Goa,2020-03-30,cust0137@email.com,+91-8877279755,1607,35-44,217.0,3.0,16957.02,2.0,1.0,3.0,213,6.0,About to Sleep
138,Customer_0138,Female,62,Regular,Chennai,2021-07-22,cust0138@email.com,+91-7997050893,3563,55+,64.0,6.0,28303.62,4.0,4.0,5.0,445,13.0,Champions
139,Customer_0139,Male,45,Regular,Bangalore,2020-02-05,cust0139@email.com,+91-7326495888,3297,45-54,182.0,6.0,36326.79,3.0,4.0,5.0,345,12.0,Loyal Customers
140,Customer_0140,Other,18,Regular,Delhi,2020-10-26,cust0140@email.com,+91-8462834697,2633,<25,242.0,3.0,15879.14,2.0,1.0,3.0,213,6.0,About to Sleep
141,Customer_0141,Other,66,Occasional,Delhi,2020-05-01,cust0141@email.com,+91-9599179944,3890,55+,19.0,4.0,13912.21,5.0,2.0,3.0,523,10.0,Potential Loyalists
142,Customer_0142,Male,62,New,Mumbai,2021-10-28,cust0142@email.com,+91-9636531097,4264,55+,143.0,4.0,5033.78,3.0,2.0,1.0,321,6.0,Need Attention
143,Customer_0143,Female,21,VIP,Delhi,2020-12-03,cust0143@email.com,+91-9558119733,2808,<25,234.0,5.0,15995.93,2.0,3.0,3.0,233,8.0,At Risk
144,Customer_0144,Male,24,Occasional,Delhi,2020-12-07,cust0144@email.com,+91-8703826594,791,<25,124.0,5.0,9858.71,3.0,3.0,2.0,332,8.0,Loyal Customers
145,Customer_0145,Male,66,New,Bangalore,2020-05-01,cust0145@email.com,+91-8401777036,999,55+,115.0,11.0,50012.1,3.0,5.0,5.0,355,13.0,Loyal Customers
146,Customer_0146,Male,26,VIP,Bangalore,2020-09-09,cust0146@email.com,+91-7127241247,151,25-34,92.0,2.0,6484.93,4.0,1.0,1.0,411,6.0,New Customers
147,Customer_0147,Female,53,New,Chennai,2020-07-09,cust0147@email.com,+91-9723537339,3063,45-54,12.0,8.0,30885.850000000002,5.0,5.0,5.0,555,15.0,Champions
148,Customer_0148,Female,36,Occasional,Mumbai,2021-04-19,cust0148@email.com,+91-8173930637,4599,35-44,247.0,3.0,8066.17,2.0,1.0,1.0,211,4.0,About to Sleep
149,Customer_0149,Male,18,Regular,Delhi,2020-06-14,cust0149@email.com,+91-8935098341,2091,<25,19.0,3.0,4329.18,5.0,1.0,1.0,511,7.0,New Customers
150,Customer_0150,Male,27,Regular,Chennai,2021-12-21,cust0150@email.com,+91-9107125807,4599,25-34,14.0,9.0,46129.94,5.0,5.0,5.0,555,15.0,Champions
151,Customer_0151,Female,53,VIP,Mumbai,2020-02-05,cust0151@email.com,+91-7979846924,4082,45-54,171.0,3.0,11338.57,3.0,1.0,2.0,312,6.0,Promising
152,Customer_0152,Male,26,Regular,Delhi,2021-09-06,cust0152@email.com,+91-8528197464,4026,25-34,219.0,6.0,22525.87,2.0,4.0,4.0,244,10.0,At Risk
